for class Bottle, acc 22.929546356201172, iou 3.745008456632064
for class Box, acc 37.5401725769043, iou 28.47640272565971
for class Bucket, acc 62.59465408325195, iou 4.767526424097921
for class Camera, acc 19.293048858642578, iou 3.1153197911902297
for class Cart, acc 31.709562301635742, iou 10.186683338922728
for class Chair, acc 33.3104248046875, iou 14.601464744421348
for class Clock, acc 50.0349235534668, iou 1.144952550827664
for class CoffeeMachine, acc 8.548027038574219, iou 1.3718365463561106
for class Dishwasher, acc 46.19566345214844, iou 7.936874886293774
for class Dispenser, acc 8.76656436920166, iou 4.211251401345476
for class Display, acc 26.63623046875, iou 14.43782175475671
for class Door, acc 17.77760124206543, iou 8.127617709721445
for class Eyeglasses, acc 16.821060180664062, iou 12.006307413809552
for class Faucet, acc 20.036149978637695, iou 10.220188316368331
for class FoldingChair, acc 57.81016159057617, iou 48.186115612771665
for class Globe, acc 49.855045318603516, iou 34.39665138236194
for class Kettle, acc 12.898460388183594, iou 7.294861380361754
for class Keyboard, acc 21.774730682373047, iou 12.64607824276217
for class KitchenPot, acc 28.033416748046875, iou 9.592822973767264
for class Knife, acc 65.91532897949219, iou 8.679615214619588
for class Lamp, acc 21.258562088012695, iou 9.405090435109646
for class Laptop, acc 6.978842735290527, iou 1.8683512681486099
for class Lighter, acc 17.29050064086914, iou 2.6421388157715344
for class Microwave, acc 10.977145195007324, iou 2.044722504106015
for class Mouse, acc 8.717677116394043, iou 3.857769573196368
for class Oven, acc 44.39572525024414, iou 5.584930592355191
for class Pen, acc 30.209320068359375, iou 3.053112142096034
for class Phone, acc 21.16384506225586, iou 6.84496334742947
for class Pliers, acc 53.26810836791992, iou 53.235958822953364
for class Printer, acc 40.33466339111328, iou 0.3025701484145162
for class Refrigerator, acc 48.946533203125, iou 5.818816269502913
for class Remote, acc 34.41835403442383, iou 8.016905427642822
for class Safe, acc 12.729801177978516, iou 2.3493071012828883
for class Scissors, acc 1.7545839548110962, iou 0.8883987995706809
for class Stapler, acc 31.14621925354004, iou 17.216529942626803
for class StorageFurniture, acc 34.526397705078125, iou 4.473817066311452
for class Suitcase, acc 22.607412338256836, iou 1.7852835641520541
for class Switch, acc 30.92572593688965, iou 10.63361777062262
for class Table, acc 7.876103401184082, iou 2.193625426987218
for class Toaster, acc 16.853548049926758, iou 0.8024883443033817
for class Toilet, acc 10.32016372680664, iou 2.5202944341638567
for class TrashCan, acc 7.648705005645752, iou 1.283644746166998
for class USB, acc 23.629640579223633, iou 9.669865394887642
for class WashingMachine, acc 14.502561569213867, iou 1.8898943565554704
for class Window, acc 45.6634521484375, iou 30.567791349678874
overall acc 27.480541229248047, overall iou 9.646561966912975
7652.027160406113
