for class Bottle, acc 26.651792526245117, iou 7.915281403297977
for class Box, acc 38.27257537841797, iou 27.433775024226897
for class Bucket, acc 62.85791015625, iou 3.271164915644025
for class Camera, acc 22.046003341674805, iou 5.274315326629006
for class Cart, acc 29.18055534362793, iou 10.618016948682598
for class Chair, acc 21.210721969604492, iou 8.13094733076919
for class Clock, acc 49.29090881347656, iou 1.1750977044881157
for class CoffeeMachine, acc 26.52931022644043, iou 0.8301796822744892
for class Dishwasher, acc 50.23926544189453, iou 4.298015997654788
for class Dispenser, acc 19.0340518951416, iou 4.807957978344647
for class Display, acc 27.046205520629883, iou 10.979812038258894
for class Door, acc 17.036535263061523, iou 7.293890894170162
for class Eyeglasses, acc 30.26008415222168, iou 21.3877276595542
for class Faucet, acc 24.161638259887695, iou 11.135670964747812
for class FoldingChair, acc 53.973506927490234, iou 47.00385845063632
for class Globe, acc 48.85216522216797, iou 40.989346711558944
for class Kettle, acc 37.20771026611328, iou 4.862824302303626
for class Keyboard, acc 20.743680953979492, iou 7.991890194377185
for class KitchenPot, acc 49.86829376220703, iou 9.559169648245438
for class Knife, acc 55.700340270996094, iou 22.97730517715773
for class Lamp, acc 14.203531265258789, iou 6.962863658528929
for class Laptop, acc 10.378063201904297, iou 3.0031278201174634
for class Lighter, acc 9.100211143493652, iou 2.127863717299921
for class Microwave, acc 31.55139923095703, iou 0.7202507491773078
for class Mouse, acc 17.562047958374023, iou 1.6978010481047932
for class Oven, acc 49.930667877197266, iou 4.775712135949228
for class Pen, acc 18.06178092956543, iou 9.869893898548536
for class Phone, acc 19.25891876220703, iou 8.433424182563401
for class Pliers, acc 77.11325073242188, iou 77.1003808590019
for class Printer, acc 27.254018783569336, iou 0.32377460318272894
for class Refrigerator, acc 49.25544738769531, iou 4.402498981498687
for class Remote, acc 26.824329376220703, iou 9.120081317122688
for class Safe, acc 19.052946090698242, iou 1.6571846901603464
for class Scissors, acc 7.082104206085205, iou 5.636747331593166
for class Stapler, acc 41.55448913574219, iou 27.58185238012906
for class StorageFurniture, acc 25.581863403320312, iou 4.126887003979412
for class Suitcase, acc 17.521215438842773, iou 2.187980037225108
for class Switch, acc 24.293701171875, iou 10.89437451481683
for class Table, acc 12.1735258102417, iou 2.0553934783503744
for class Toaster, acc 40.342105865478516, iou 0.43471828770499993
for class Toilet, acc 18.68196678161621, iou 2.827684040879023
for class TrashCan, acc 35.57111740112305, iou 2.3202447559130817
for class USB, acc 23.88416862487793, iou 11.074566610613257
for class WashingMachine, acc 22.445941925048828, iou 3.118666595586684
for class Window, acc 47.52640151977539, iou 32.031367996672955
overall acc 31.030412673950195, overall iou 10.94270197883871
7400.947237730026
