for class Bottle, acc 25.43991470336914, iou 9.404818265729725
for class Box, acc 36.45737838745117, iou 27.00842496021581
for class Bucket, acc 61.78915023803711, iou 3.6806983765591506
for class Camera, acc 14.513347625732422, iou 5.043651402195375
for class Cart, acc 33.12773513793945, iou 11.010962706546325
for class Chair, acc 22.81885528564453, iou 9.431916928198415
for class Clock, acc 57.15353775024414, iou 1.4768696855692016
for class CoffeeMachine, acc 11.056075096130371, iou 1.8444711785063392
for class Dishwasher, acc 43.13222122192383, iou 5.437127570386979
for class Dispenser, acc 12.827921867370605, iou 4.008646817940701
for class Display, acc 25.494340896606445, iou 10.605282231829133
for class Door, acc 16.209409713745117, iou 6.881475919108186
for class Eyeglasses, acc 29.932252883911133, iou 21.520513457554312
for class Faucet, acc 23.220291137695312, iou 10.86730511070762
for class FoldingChair, acc 51.962928771972656, iou 46.057137790683996
for class Globe, acc 37.450599670410156, iou 22.015703790759957
for class Kettle, acc 12.998218536376953, iou 5.525119076283176
for class Keyboard, acc 28.875186920166016, iou 12.304514939790145
for class KitchenPot, acc 25.027145385742188, iou 11.737758910634371
for class Knife, acc 59.98799133300781, iou 14.991343642183836
for class Lamp, acc 23.51157569885254, iou 11.095289416432585
for class Laptop, acc 8.088645935058594, iou 3.283127071343143
for class Lighter, acc 11.054722785949707, iou 4.335270045661292
for class Microwave, acc 11.767847061157227, iou 0.7320044534601362
for class Mouse, acc 7.672901153564453, iou 2.830312888558638
for class Oven, acc 41.227481842041016, iou 4.97766346577593
for class Pen, acc 18.450258255004883, iou 7.581166750566219
for class Phone, acc 15.242101669311523, iou 6.439276261257066
for class Pliers, acc 69.00443267822266, iou 69.00425598331606
for class Printer, acc 29.792890548706055, iou 0.346135547063161
for class Refrigerator, acc 41.973602294921875, iou 5.362838247724215
for class Remote, acc 22.757169723510742, iou 9.23883853517356
for class Safe, acc 11.435004234313965, iou 2.0842558605224433
for class Scissors, acc 6.826961994171143, iou 3.8458763066142363
for class Stapler, acc 39.816593170166016, iou 26.90347369836333
for class StorageFurniture, acc 32.32792663574219, iou 3.6906769261977064
for class Suitcase, acc 26.648330688476562, iou 2.200162424569986
for class Switch, acc 25.03177833557129, iou 10.981230619640222
for class Table, acc 9.747715950012207, iou 2.761658008123356
for class Toaster, acc 14.503107070922852, iou 0.5431910843797061
for class Toilet, acc 10.705831527709961, iou 3.907291841523801
for class TrashCan, acc 10.403705596923828, iou 4.07390222235828
for class USB, acc 24.615880966186523, iou 11.498540422590827
for class WashingMachine, acc 19.940977096557617, iou 2.608816958787941
for class Window, acc 40.06877517700195, iou 20.569507338195166
overall acc 26.713123321533203, overall iou 10.261077891990709
7318.508594036102
