for class Bottle, acc 23.562503814697266, iou 2.4920330850225425
for class Box, acc 39.835304260253906, iou 30.799567424088725
for class Bucket, acc 63.542869567871094, iou 2.490962316652314
for class Camera, acc 20.435070037841797, iou 1.472497960678989
for class Cart, acc 27.60418128967285, iou 9.880394311073847
for class Chair, acc 34.82054901123047, iou 12.84863741262501
for class Clock, acc 31.75762939453125, iou 1.0084844875819678
for class CoffeeMachine, acc 17.486116409301758, iou 1.4963774621218497
for class Dishwasher, acc 49.11700439453125, iou 8.227333466136363
for class Dispenser, acc 7.301475524902344, iou 0.03816557980989071
for class Display, acc 30.582239151000977, iou 13.237362914871445
for class Door, acc 13.983027458190918, iou 6.91654558006865
for class Eyeglasses, acc 18.25887680053711, iou 9.99917604865507
for class Faucet, acc 26.621143341064453, iou 17.482189220267358
for class FoldingChair, acc 59.06526565551758, iou 42.04086237416423
for class Globe, acc 41.88541030883789, iou 33.07074492902025
for class Kettle, acc 30.465927124023438, iou 3.5684801135475164
for class Keyboard, acc 9.265345573425293, iou 6.891810065956685
for class KitchenPot, acc 60.465858459472656, iou 12.453965551372843
for class Knife, acc 46.93462371826172, iou 18.08759206295212
for class Lamp, acc 22.754989624023438, iou 10.41310381064363
for class Laptop, acc 9.14789867401123, iou 1.4364764665061809
for class Lighter, acc 15.946413040161133, iou 3.311355831782925
for class Microwave, acc 28.841238021850586, iou 0.9458912434180343
for class Mouse, acc 17.118915557861328, iou 1.1324769986245997
for class Oven, acc 51.556182861328125, iou 6.6677981605280765
for class Pen, acc 32.271705627441406, iou 14.912631758485446
for class Phone, acc 11.184667587280273, iou 7.320460627670755
for class Pliers, acc 76.0223617553711, iou 75.949089911815
for class Printer, acc 41.3249626159668, iou 0.1227836699572602
for class Refrigerator, acc 40.4146842956543, iou 6.8234224971833415
for class Remote, acc 36.515785217285156, iou 6.582140711935717
for class Safe, acc 22.263469696044922, iou 2.4769438058550586
for class Scissors, acc 0.6976489424705505, iou 0.2926313101961458
for class Stapler, acc 43.165584564208984, iou 29.083797126697625
for class StorageFurniture, acc 30.38716697692871, iou 5.134661826583286
for class Suitcase, acc 14.062253952026367, iou 1.4884258589665127
for class Switch, acc 30.496511459350586, iou 14.345244596869165
for class Table, acc 13.398260116577148, iou 1.217140328112579
for class Toaster, acc 37.67639923095703, iou 0.6727123147184083
for class Toilet, acc 19.87979507446289, iou 7.053175140921482
for class TrashCan, acc 24.978605270385742, iou 1.2460074953301785
for class USB, acc 23.119243621826172, iou 11.211573606936364
for class WashingMachine, acc 33.2943229675293, iou 2.8831550700990674
for class Window, acc 64.74085998535156, iou 60.149973096646264
overall acc 30.983341217041016, overall iou 11.275027902958906
1046.8759126663208
