for class Bottle, acc 23.7569637298584, iou 3.106234892958056
for class Box, acc 37.669517517089844, iou 28.547124736436377
for class Bucket, acc 51.148170471191406, iou 2.9396100119647977
for class Camera, acc 20.582103729248047, iou 1.134583810203153
for class Cart, acc 35.69012451171875, iou 13.852066972166494
for class Chair, acc 39.2920036315918, iou 15.84111770638861
for class Clock, acc 37.44881057739258, iou 1.0893119241258973
for class CoffeeMachine, acc 9.440642356872559, iou 2.446916586560314
for class Dishwasher, acc 46.00217056274414, iou 6.649884299183023
for class Dispenser, acc 6.505558967590332, iou 2.883399202323057
for class Display, acc 25.787805557250977, iou 14.032995384083335
for class Door, acc 14.099672317504883, iou 7.39846440801267
for class Eyeglasses, acc 15.416827201843262, iou 11.282755673628646
for class Faucet, acc 20.75979995727539, iou 12.082191029030831
for class FoldingChair, acc 50.8443603515625, iou 39.47291650906887
for class Globe, acc 49.446048736572266, iou 33.70157291284251
for class Kettle, acc 14.334701538085938, iou 2.8288133922311975
for class Keyboard, acc 19.733028411865234, iou 11.357414018944702
for class KitchenPot, acc 26.343236923217773, iou 6.866614782867091
for class Knife, acc 63.584320068359375, iou 15.182052654040907
for class Lamp, acc 21.83712387084961, iou 8.207800758637807
for class Laptop, acc 5.1945085525512695, iou 1.5622966503934839
for class Lighter, acc 17.95151138305664, iou 1.9735425512417877
for class Microwave, acc 12.209951400756836, iou 2.079160643827005
for class Mouse, acc 7.080262660980225, iou 3.470189499221295
for class Oven, acc 43.09589385986328, iou 6.488654033416429
for class Pen, acc 25.846471786499023, iou 4.172588685735514
for class Phone, acc 25.089807510375977, iou 6.159570361263994
for class Pliers, acc 50.539894104003906, iou 50.43155144898779
for class Printer, acc 36.80759048461914, iou 0.1288628845929459
for class Refrigerator, acc 51.3919677734375, iou 7.796231410988017
for class Remote, acc 32.86671829223633, iou 6.642105595409409
for class Safe, acc 12.526701927185059, iou 2.895556837385772
for class Scissors, acc 0.44887155294418335, iou 0.15308164519128034
for class Stapler, acc 31.81192398071289, iou 17.06498584593706
for class StorageFurniture, acc 36.12373733520508, iou 4.700024001583616
for class Suitcase, acc 25.433788299560547, iou 2.5656514419871295
for class Switch, acc 35.65813446044922, iou 14.4296551938166
for class Table, acc 13.053129196166992, iou 2.9541317930833686
for class Toaster, acc 15.958684921264648, iou 1.2636470321384006
for class Toilet, acc 6.9068098068237305, iou 2.519530933846027
for class TrashCan, acc 5.567590236663818, iou 1.4674120772731911
for class USB, acc 28.899402618408203, iou 13.673582455326729
for class WashingMachine, acc 11.846268653869629, iou 1.6591068837958658
for class Window, acc 48.224388122558594, iou 39.35183753877348
overall acc 26.894601821899414, overall iou 9.700151091353655
921.2810621261597
