for class Bottle, acc 29.93243408203125, iou 8.272622878447695
for class Box, acc 36.827816009521484, iou 26.844633557298515
for class Bucket, acc 66.54887390136719, iou 3.4698806652850487
for class Camera, acc 22.850276947021484, iou 2.545122203985387
for class Cart, acc 24.148622512817383, iou 13.993908393821986
for class Chair, acc 17.854534149169922, iou 6.029629583176327
for class Clock, acc 43.88479232788086, iou 0.9038505033338715
for class CoffeeMachine, acc 19.00838279724121, iou 0.919464148613042
for class Dishwasher, acc 47.62996292114258, iou 5.892146380300467
for class Dispenser, acc 24.814319610595703, iou 4.051078516894249
for class Display, acc 25.612112045288086, iou 8.29721816696751
for class Door, acc 13.712656021118164, iou 6.719772837659046
for class Eyeglasses, acc 21.533321380615234, iou 12.594211972539993
for class Faucet, acc 17.33312225341797, iou 9.697207721650175
for class FoldingChair, acc 45.42589569091797, iou 38.41501266992223
for class Globe, acc 46.138427734375, iou 38.12685297041564
for class Kettle, acc 37.63248825073242, iou 1.5167518466638688
for class Keyboard, acc 23.573705673217773, iou 6.506507148550291
for class KitchenPot, acc 48.38420104980469, iou 7.086381656922088
for class Knife, acc 53.67060470581055, iou 23.60714132186514
for class Lamp, acc 27.155040740966797, iou 13.81544723361569
for class Laptop, acc 8.475091934204102, iou 2.9260866331073108
for class Lighter, acc 7.796938419342041, iou 1.0864436303473302
for class Microwave, acc 33.67658615112305, iou 0.4318071339054878
for class Mouse, acc 15.802401542663574, iou 0.74342009809125
for class Oven, acc 49.75304412841797, iou 6.960751190223869
for class Pen, acc 27.723876953125, iou 10.510348391682061
for class Phone, acc 14.231341361999512, iou 5.340887988810474
for class Pliers, acc 69.8547592163086, iou 69.81204913006873
for class Printer, acc 26.845035552978516, iou 0.13349823817764045
for class Refrigerator, acc 49.5240364074707, iou 2.9784374611101
for class Remote, acc 25.654409408569336, iou 7.764666953289369
for class Safe, acc 15.6836519241333, iou 1.6392052381525595
for class Scissors, acc 4.305838584899902, iou 6.166176552475471
for class Stapler, acc 43.59270477294922, iou 30.038126926945534
for class StorageFurniture, acc 24.738821029663086, iou 4.591051197656587
for class Suitcase, acc 22.439443588256836, iou 2.0568610942668566
for class Switch, acc 33.698020935058594, iou 15.051944133461138
for class Table, acc 13.840188980102539, iou 1.3579313210791952
for class Toaster, acc 42.561744689941406, iou 0.7035885302338869
for class Toilet, acc 17.36712074279785, iou 2.0111063615861795
for class TrashCan, acc 28.9523868560791, iou 0.6138346865581494
for class USB, acc 27.416332244873047, iou 12.672156213051533
for class WashingMachine, acc 24.591445922851562, iou 3.156863372493102
for class Window, acc 44.02448272705078, iou 36.21274179128596
overall acc 30.3604736328125, overall iou 10.316996147688624
978.6522011756897
