for class Bottle, acc 28.788909912109375, iou 11.383351660685381
for class Box, acc 38.33023452758789, iou 26.922339122070486
for class Bucket, acc 64.58072662353516, iou 2.9123426230500606
for class Camera, acc 12.64039134979248, iou 2.0933687261760556
for class Cart, acc 27.170114517211914, iou 14.869284730829355
for class Chair, acc 18.61847686767578, iou 6.881819365431289
for class Clock, acc 52.246376037597656, iou 1.1939448647705835
for class CoffeeMachine, acc 13.728922843933105, iou 3.3714547814763685
for class Dishwasher, acc 48.53081512451172, iou 7.263359888924832
for class Dispenser, acc 17.555984497070312, iou 3.8096386800683852
for class Display, acc 28.763208389282227, iou 7.959412618253744
for class Door, acc 11.892644882202148, iou 6.093998946797488
for class Eyeglasses, acc 22.122692108154297, iou 16.002863340654766
for class Faucet, acc 15.527302742004395, iou 8.530533076337264
for class FoldingChair, acc 46.88419723510742, iou 40.11709067267974
for class Globe, acc 36.54793930053711, iou 22.48200454929527
for class Kettle, acc 12.868082046508789, iou 1.9064003719700622
for class Keyboard, acc 26.743762969970703, iou 11.30507342887925
for class KitchenPot, acc 20.523738861083984, iou 8.661672506934487
for class Knife, acc 59.65032958984375, iou 14.640122630993366
for class Lamp, acc 27.049846649169922, iou 11.504611995593214
for class Laptop, acc 7.03879451751709, iou 2.9978609547055926
for class Lighter, acc 9.707913398742676, iou 4.018677266665951
for class Microwave, acc 12.670159339904785, iou 0.5352754425767033
for class Mouse, acc 6.5484418869018555, iou 2.3094222317994992
for class Oven, acc 46.239051818847656, iou 6.729642814883978
for class Pen, acc 21.860366821289062, iou 9.214216829432488
for class Phone, acc 15.117426872253418, iou 4.274234499418672
for class Pliers, acc 77.65349578857422, iou 77.65346710838398
for class Printer, acc 30.835922241210938, iou 0.1480233740256543
for class Refrigerator, acc 44.55204772949219, iou 3.841168026774163
for class Remote, acc 22.418275833129883, iou 7.901176578914992
for class Safe, acc 9.749038696289062, iou 2.0034986331550426
for class Scissors, acc 3.5503392219543457, iou 2.049758249693588
for class Stapler, acc 38.42449951171875, iou 25.63349777822778
for class StorageFurniture, acc 30.02007484436035, iou 3.7876645372501647
for class Suitcase, acc 29.375377655029297, iou 1.8819376232062506
for class Switch, acc 37.631004333496094, iou 15.647695157630423
for class Table, acc 12.156702041625977, iou 3.3364931091570966
for class Toaster, acc 14.86689281463623, iou 0.8019452652467789
for class Toilet, acc 11.269491195678711, iou 4.2244922858264555
for class TrashCan, acc 6.355843544006348, iou 2.115594904872959
for class USB, acc 27.273799896240234, iou 16.045790629249538
for class WashingMachine, acc 23.181665420532227, iou 2.457886380114754
for class Window, acc 39.18893814086914, iou 30.190045374964832
overall acc 26.85445213317871, overall iou 10.215647858623306
1007.0384006500244
